global_step,epoch,loss,batch_acc
0,0,0.0018091537058353424,0.0
1,0,0.36059242486953735,0.328125
2,0,0.15067517757415771,0.5104166865348816
3,0,0.11377879977226257,0.6015625
4,0,0.0014844975667074323,0.0
5,0,0.0059372540563344955,0.0
6,0,0.008076190948486328,0.0
7,0,0.022537201642990112,0.421875
8,0,0.045991428196430206,0.4791666567325592
9,0,0.012589729391038418,0.0
10,0,0.05859823152422905,0.47727271914482117
11,0,0.18594779074192047,0.5052083134651184
12,0,0.0037714620120823383,0.0
13,0,0.004353157710283995,0.0
14,0,0.3582402467727661,0.44583332538604736
15,0,0.001390804536640644,0.0
16,0,0.21287886798381805,0.43933823704719543
17,0,0.28166258335113525,0.4565972089767456
18,0,0.17336992919445038,0.4736842215061188
19,0,0.1532154679298401,0.4921875
20,0,0.0668247789144516,0.511904776096344
21,0,0.005031227134168148,0.0
22,0,0.04931827634572983,0.508152186870575
23,0,0.22442172467708588,0.5182291865348816
24,0,0.2491251826286316,0.5274999737739563
25,0,0.0023429393768310547,0.0
26,0,0.15117762982845306,0.5208333134651184
27,0,0.08068887889385223,0.5345982313156128
28,0,0.14369836449623108,0.5463362336158752
29,0,0.3100852966308594,0.5531250238418579
30,0,0.0030458641704171896,0.0
31,0,0.06415330618619919,0.5478515625
32,0,0.6531186699867249,0.5445075631141663
33,0,0.12906092405319214,0.5542279481887817
34,0,0.1727675497531891,0.5625
35,0,0.010217845439910889,0.0
36,0,0.008250311948359013,0.0
37,0,0.21901099383831024,0.5386512875556946
38,0,0.14525820314884186,0.5472756624221802
39,0,0.002288942225277424,0.0
40,0,0.0003370617632754147,0.0
41,0,0.00657666428014636,0.0
42,0,0.0010901943314820528,0.0
43,0,0.0,0.5071022510528564
44,0,0.13752597570419312,0.5145833492279053
45,0,0.05684235692024231,0.523777186870575
46,0,0.11924436688423157,0.53125
47,0,0.1142457127571106,0.5384114384651184
48,0,0.39269012212753296,0.5401785969734192
49,0,0.08360424637794495,0.5475000143051147
50,0,0.2758845388889313,0.5514705777168274
51,0,0.15735295414924622,0.557692289352417
52,0,0.2638082206249237,0.5613207817077637
53,0,0.17910568416118622,0.5665509104728699
54,0,0.00659027136862278,0.0
55,0,0.2787214517593384,0.5597098469734192
56,0,0.08913270384073257,0.5657894611358643
57,0,0.0,0.5727370977401733
58,0,0.36393308639526367,0.5746821761131287
59,0,0.344473659992218,0.5765625238418579
60,0,0.0020550736226141453,0.0
61,0,0.1804257333278656,0.571068525314331
62,0,0.08812908828258514,0.5763888955116272
63,0,0.2498038411140442,0.57861328125
64,0,0.18919238448143005,0.5826923251152039
65,0,0.19048872590065002,0.5866477489471436
66,0,0.023037146776914597,0.5923507213592529
67,0,0.34867173433303833,0.5946691036224365
68,0,0.0012139221653342247,0.0
69,0,0.08074206113815308,0.590624988079071
70,0,0.20957738161087036,0.5933098793029785
71,0,0.22466398775577545,0.5959201455116272
72,0,0.0005000471137464046,0.0
73,0,0.0024875106755644083,0.0
74,0,0.07489684224128723,0.5841666460037231
75,0,0.2332853078842163,0.5867598652839661
76,0,0.199711412191391,0.5892857313156128
77,0,0.013644726015627384,0.0
78,0,0.21012189984321594,0.5846518874168396
79,0,0.04571077600121498,0.589062511920929
80,0,0.26093584299087524,0.5910493731498718
81,0,0.25395306944847107,0.5926067233085632
82,0,0.4307888150215149,0.5933734774589539
83,0,0.23873518407344818,0.5956101417541504
84,0,0.06128496676683426,0.5996323823928833
85,0,0.05510471761226654,0.6035610437393188
86,0,0.048077404499053955,0.6073994040489197
87,0,0.03608394414186478,0.6115056872367859
88,0,0.0009752039331942797,0.0
89,0,0.0013043133076280355,0.0
90,0,0.41508162021636963,0.5982142686843872
91,0,0.0009193141013383865,0.0
92,0,0.12448856234550476,0.5947580933570862
93,0,0.0018092312384396791,0.0
94,0,0.0004503768577706069,0.0
95,0,0.27229368686676025,0.583984375
96,0,0.0039545707404613495,0.0
97,0,0.004074630327522755,0.0
98,0,0.19081100821495056,0.5744949579238892
99,0,0.0036027035675942898,0.0
100,0,0.0009492178214713931,0.0
101,0,0.14414411783218384,0.5661764740943909
102,0,0.06920796632766724,0.5694781541824341
103,0,0.13812921941280365,0.5724158883094788
104,0,0.05123884975910187,0.5758928656578064
105,0,0.0012935446575284004,0.0
106,0,0.24438737332820892,0.5721378326416016
107,0,0.07944414019584656,0.5752314925193787
108,0,0.32817965745925903,0.5762614607810974
109,0,0.11658917367458344,0.5789772868156433
110,0,0.06001986563205719,0.582207202911377
111,0,0.0015929590445011854,0.0
112,0,0.2652372717857361,0.5785398483276367
113,0,0.000709417334292084,0.0
114,0,0.0010565727716311812,0.0
115,0,0.001601576805114746,0.0
116,0,0.001000670832581818,0.0
117,0,0.044911593198776245,0.5619703531265259
118,0,0.025259504094719887,0.5653886795043945
119,0,0.0008063656277954578,0.0
120,0,0.14346987009048462,0.5630165338516235
121,0,0.10439074039459229,0.5655737519264221
122,0,0.004498867318034172,0.0
123,0,0.2565602958202362,0.5625
124,0,0.11429041624069214,0.5649999976158142
125,0,0.0016435494180768728,0.0
126,0,0.0016527606640011072,0.0
127,0,0.0,0.559326171875
128,0,0.05770241841673851,0.5622577667236328
129,0,0.002130295615643263,0.0
130,0,0.003731069155037403,0.0
131,0,0.2893977165222168,0.5549242496490479
132,0,0.0013720644637942314,0.0
133,0,0.04594962298870087,0.5536380410194397
134,0,0.40033581852912903,0.5546296238899231
135,0,0.1894201934337616,0.556525707244873
136,0,0.015018226578831673,0.0
137,0,0.023334523662924767,0.5554800629615784
138,0,0.16744133830070496,0.5573291182518005
139,0,0.0022832523100078106,0.0
140,0,0.0010007766541093588,0.0
141,0,0.046005167067050934,0.5521566867828369
142,0,0.16446158289909363,0.5539772510528564
143,0,0.2717728912830353,0.5553385615348816
144,0,0.19619742035865784,0.5568965673446655
145,0,0.2535328269004822,0.5582191944122314
146,0,0.0010057664476335049,0.0
147,0,0.12755626440048218,0.556587815284729
148,0,0.20256608724594116,0.5585150718688965
149,0,0.0010174931958317757,0.0
150,0,0.27723267674446106,0.5556705594062805
151,0,0.04660836607217789,0.5581825375556946
152,0,0.2764250934123993,0.5594362616539001
153,0,0.1308138072490692,0.5614854097366333
154,0,0.000836262886878103,0.0
155,0,0.14158593118190765,0.5598958134651184
156,0,0.0,0.5625
157,0,0.0013750472571700811,0.0
158,0,0.0019709663465619087,0.0
